date,sentiment_financial,oil_relevance_financial,news_count_financial,positive_prob_financial,neutral_prob_financial,negative_prob_financial
2024-02-27,0.4094201136380434,1.4,5,0.5977004915475845,0.21401913836598396,0.18828037790954114
2024-02-28,0.043692911664644875,1.6666666666666667,3,0.3552132161955039,0.3332664507130782,0.311520304530859
2024-02-29,-0.05850103745857874,2.0,6,0.3616080979506175,0.2182827399422725,0.4201091354091962
2024-03-01,-0.17973488522693515,1.5,2,0.390007168520242,0.04025069810450077,0.5697420537471771
2024-03-03,-0.04471850208938122,2.0,2,0.44272726215422153,0.06982695125043392,0.48744576424360275
2024-03-04,-0.45880541671067476,2.0,2,0.034455111250281334,0.4722843440249562,0.4932605279609561
2024-03-05,-0.5807140554922322,1.0,3,0.05871390706549088,0.30185814512272674,0.6394279625577232
2024-03-06,-0.0758427802938968,2.0,4,0.37285026372410357,0.1784567115828395,0.44869304401800036
2024-03-07,0.07001120721300443,1.6666666666666667,3,0.35683486486474675,0.3563414216041565,0.2868236576517423
2024-03-08,-0.5588663794721166,1.6666666666666667,3,0.0849940807869037,0.27114545305569965,0.6438604602590203
2024-03-10,-0.9373970236629248,2.0,1,0.015036502853035927,0.03252989426255226,0.9524335265159607
2024-03-11,-0.2722512506879866,2.0,4,0.20532736228778958,0.31709400843828917,0.4775786129757762
2024-03-12,0.5637095446387926,2.0,3,0.6298095285892487,0.30409053961435956,0.06609998395045598
2024-03-13,0.5662480890750885,3.0,1,0.7451046109199524,0.07603886723518372,0.1788565218448639
2024-03-14,-0.19980973502000174,1.6666666666666667,3,0.379722702006499,0.040744817505280174,0.5795324370265007
2024-03-15,0.6221726164221764,2.0,2,0.6812790483236313,0.25961456447839737,0.059106431901454926
2024-03-18,-0.08322377176955342,1.875,8,0.22545262472704053,0.4658709727227688,0.30867639649659395
2024-03-19,0.28190984413959086,1.75,4,0.3158065937459469,0.6502966415137053,0.033896749606356025
2024-03-20,0.5806641041611632,2.0,3,0.602124368151029,0.37641537624100846,0.02146026398986578
2024-03-21,-0.5546007783462604,1.6666666666666667,3,0.07110327668488026,0.30319266952574253,0.6257040550311407
2024-03-22,-0.7829194664955139,3.0,1,0.09430563449859619,0.028469279408454895,0.8772251009941101
2024-03-24,-0.6741942316293716,3.0,1,0.14807604253292084,0.02965368889272213,0.8222702741622925
2024-03-25,-0.41450119367800653,2.0,4,0.19779318221844733,0.18991245236247778,0.6122943758964539
2024-03-26,-0.06305434107780457,2.0,5,0.32378641366958616,0.28937282264232633,0.38684075474739077
2024-03-27,-0.5088762698384622,1.6666666666666667,3,0.10538541075463097,0.28035289235413074,0.6142616805930933
2024-03-28,0.11980313342064619,1.2857142857142858,7,0.34322406391480137,0.43335502009306637,0.2234209304941552
2024-03-29,-0.9647513451054692,2.0,1,0.00930746179074049,0.01663375087082386,0.9740588068962097
2024-03-31,0.14118217133606473,2.0,3,0.49601114975909394,0.14915984806915125,0.3548289784230292
2024-04-01,0.9217569921165705,1.0,1,0.9341181516647339,0.05352068319916725,0.012361159548163414
2024-04-02,0.13822262774088553,1.7142857142857142,7,0.3942104542095746,0.34980172238179613,0.2559878264686891
2024-04-03,-0.15144551191478967,1.6,5,0.2769369475543499,0.2946805939078331,0.42838245946913955
2024-04-04,0.0464350071602634,1.7142857142857142,7,0.31403767596930265,0.41835962874548777,0.26760266880903927
2024-04-05,0.504102879203856,1.6666666666666667,6,0.638425663113594,0.22725153900682926,0.13432278390973806
2024-04-08,-0.930703959427774,1.6666666666666667,3,0.023761370219290257,0.02177329050997893,0.9544653296470642
2024-04-09,0.10393241917093594,2.6666666666666665,3,0.42575091992815334,0.25243056813875836,0.3218185007572174
2024-04-11,0.05934352008625865,2.0,2,0.4461269732564688,0.16708954423666,0.3867834531702101
2024-04-12,0.37626925980051357,1.3333333333333333,3,0.565963531533877,0.24434218804041544,0.18969427173336348
2024-04-14,0.9088173974305391,1.0,1,0.9292462468147278,0.050324853509664536,0.020428849384188652
2024-04-15,-0.041712740901857615,2.0,4,0.27593114832416177,0.4064249284565449,0.3176438892260194
2024-04-16,-0.18343759647437505,1.7142857142857142,7,0.2813166454434395,0.25392912700772285,0.4647542419178145
2024-04-17,-0.20527663228235074,1.7142857142857142,7,0.15447337433163608,0.48577663781387465,0.3597500066139868
2024-04-18,-0.8980930438265204,1.6,5,0.031132293678820134,0.03964237160980701,0.9292253375053405
2024-04-19,0.5301932205911726,1.25,4,0.6648504287004471,0.2004923615604639,0.1346572081092745
2024-04-21,0.0788668617606163,2.0,1,0.0942942425608635,0.8902783989906311,0.015427380800247192
2024-04-22,-0.9406017544679344,1.5,2,0.01245148153975606,0.03449532389640808,0.9530532360076904
2024-04-23,-0.0657064930668899,1.7142857142857142,7,0.3822426567120211,0.16980822357748235,0.44794914977891104
2024-04-24,-0.04873500174532334,1.3333333333333333,6,0.4134531687013805,0.12435867016514142,0.46218817044670385
2024-04-25,-0.9396212007850409,1.0,1,0.020839402452111244,0.01870007999241352,0.9604606032371521
2024-04-26,-0.7783273681998253,1.0,1,0.06370309740304947,0.09426642954349518,0.8420304656028748
2024-04-27,0.22301261126995087,2.0,1,0.3005006015300751,0.6220114231109619,0.0774879902601242
2024-04-28,-0.9634071011096239,1.0,1,0.008779941126704216,0.019033003598451614,0.9721870422363281
2024-04-29,-0.04260579616363559,1.4285714285714286,7,0.2396947451468025,0.4780047264482294,0.2823005413104381
2024-04-30,-0.3015117102768272,1.75,4,0.19204230583272874,0.3144036843441427,0.49355401610955596
2024-05-01,-0.18846051736424366,1.8333333333333333,6,0.3193290674438079,0.17288133036345243,0.5077895848080516
2024-05-02,0.01647719508036971,1.7,10,0.2760110916569829,0.464455000218004,0.2595338965766132
2024-05-03,-0.942649107426405,1.0,1,0.019714850932359695,0.01792113482952118,0.9623639583587646
2024-05-05,-0.9445828581228852,1.0,1,0.010554692707955837,0.03430778905749321,0.9551375508308411
2024-05-06,0.4439133561681956,2.0,4,0.46586162224411964,0.5121901221573353,0.02194826607592404
2024-05-07,0.49780773906968534,1.75,4,0.5264704115688801,0.4448668919503689,0.02866267249919474
2024-05-08,0.05207117615888516,1.5,6,0.33746362663805485,0.3771439551686247,0.28539245047916967
2024-05-09,0.33358193188905716,1.4285714285714286,7,0.49203575854854925,0.3495103807321617,0.1584538266594921
2024-05-10,-0.25213130718717974,2.0,3,0.3586056726053357,0.030657370885213215,0.6107369797925154
2024-05-11,0.008029162418097258,2.0,2,0.4681180687621236,0.07179305329918861,0.4600889063440263
2024-05-13,0.33419166528619826,1.5,4,0.4226891379803419,0.4888133853673935,0.08849747269414365
