date,sentiment_geopolitical,oil_relevance_geopolitical,news_count_geopolitical,positive_prob_geopolitical,neutral_prob_geopolitical,negative_prob_geopolitical
2019-09-14,-0.9026358090341091,2.0,1,0.01634824648499489,0.06466762721538544,0.918984055519104
2019-09-15,-0.4660184932872653,1.5,2,0.03642857540398836,0.4611243437975645,0.5024470686912537
2019-09-16,-0.4288135060342029,2.125,8,0.1390948457410559,0.292996799107641,0.5679083517752588
2019-09-17,-0.0853775143623352,2.5,4,0.12424674350768328,0.6661290228366852,0.20962425787001848
2019-09-18,-0.017074711620807648,2.0,3,0.29378705223401386,0.39535121122996014,0.3108617638548215
2019-09-19,-0.10927649276951949,1.3333333333333333,3,0.11746951192617416,0.6557844777901968,0.22674600469569364
2019-09-20,-0.07193985488265753,2.3333333333333335,3,0.2303056406478087,0.467448890209198,0.30224549553046626
2019-09-22,-0.9487099414691329,2.0,1,0.01221682969480753,0.02685641497373581,0.9609267711639404
2019-09-23,0.1944021563977003,2.0,1,0.20350554585456848,0.7873910665512085,0.009103389456868172
2019-09-24,-0.2512324821824829,2.0,3,0.09671183892836173,0.5553438601394495,0.3479443211108446
2019-09-25,0.09255621132130425,1.8333333333333333,6,0.21473265873889127,0.6630908846855164,0.12217644741758704
2019-09-26,-0.06411311185608308,2.0,3,0.24051096135129532,0.4548649887243907,0.3046240732073784
2019-09-27,0.6827505081892014,3.0,1,0.8179289102554321,0.04689265415072441,0.13517840206623077
2019-09-28,-0.2772137438878417,2.0,2,0.3320583337917924,0.058669595047831535,0.6092720776796341
2019-09-30,0.03396395221352577,2.0,1,0.07285748422145844,0.8882490396499634,0.03889353200793266
2019-10-01,0.07719106087461114,2.0,2,0.09197324328124523,0.8932445645332336,0.014782182406634092
2019-10-02,-0.42124221567064524,1.5,2,0.031057040207087994,0.516643725335598,0.45229925587773323
2019-10-03,-0.8597565516829491,1.0,1,0.02258024364709854,0.09508299082517624,0.8823367953300476
2019-10-04,-0.08934685836235683,2.0,3,0.15727088352044424,0.5961114118496577,0.24661774188280106
2019-10-05,0.26326920092105865,1.0,1,0.30503135919570923,0.6532065272331238,0.041762158274650574
2019-10-09,-0.0874922638759017,1.75,4,0.20754984999075532,0.4974080095998943,0.295042113866657
2019-10-10,0.10870017297565937,2.0,1,0.1179792582988739,0.87274169921875,0.009279085323214531
2019-10-11,-0.6216948218643665,3.0,1,0.028785984963178635,0.3207331895828247,0.6504808068275452
2019-10-13,0.3614216197747737,2.25,4,0.6062759053893387,0.14886983018368483,0.24485428561456501
2019-10-14,-0.6179408044554293,1.5,2,0.15143648674711585,0.0791861554607749,0.7693772912025452
2019-10-15,-0.08357847885539134,1.6666666666666667,3,0.06839899594585101,0.779623548189799,0.15197747480124235
2019-10-16,-0.38022530761857826,2.3333333333333335,3,0.14022105745971203,0.33933260291814804,0.5204463650782903
2019-10-17,-0.218958719400689,1.75,4,0.24605316948145628,0.2889349479228258,0.4650118888821453
2019-10-18,0.16627165814861655,1.75,4,0.29151873104274273,0.5832342002540827,0.12524707289412618
2019-10-20,-0.3703383468091488,2.0,1,0.046072278171777725,0.5375171303749084,0.4164106249809265
2019-10-21,-0.7588851675391197,2.0,1,0.05974898487329483,0.12161695212125778,0.8186341524124146
2019-10-22,-0.30783338053151965,2.0,2,0.2483260785229504,0.195514515042305,0.5561594590544701
2019-10-23,0.09854593127965927,1.0,1,0.2222784012556076,0.6539891362190247,0.12373246997594833
2019-10-24,0.2964295105387767,1.3333333333333333,3,0.3922007977962494,0.5120279043912888,0.09577128725747268
2019-10-25,0.28535834575692814,2.0,3,0.564776868869861,0.15580462664365768,0.27941852311293286
2019-10-26,-0.7243031933903694,2.0,1,0.041285984218120575,0.19312483072280884,0.76558917760849
