date,sentiment_demand,oil_relevance_demand,news_count_demand,positive_prob_demand,neutral_prob_demand,negative_prob_demand
2008-08-14,-0.8927442077547312,1.0,1,0.01679149828851223,0.073672816157341,0.9095357060432434
2008-08-15,-0.24673543870449066,2.0,1,0.09172843396663666,0.5698077082633972,0.3384638726711273
2008-09-02,0.00733715295791626,2.0,1,0.4512576460838318,0.10482180118560791,0.4439204931259155
2008-09-03,0.051413387060165405,2.0,1,0.5065041780471802,0.038405079394578934,0.45509079098701477
2008-09-18,0.5788909792900085,2.0,1,0.766829252243042,0.04523252695798874,0.18793827295303345
2008-09-19,0.37036860547959805,1.0,1,0.39288440346717834,0.5845997929573059,0.0225157979875803
2008-09-22,0.5271986722946167,2.0,1,0.6505089998245239,0.22618071734905243,0.12331032752990723
2008-09-28,-0.8041588366031647,1.0,1,0.07230660319328308,0.05122790113091469,0.8764654397964478
2008-09-29,-0.6430552005767822,2.0,1,0.15581518411636353,0.04531443491578102,0.7988703846931458
2008-09-30,-0.932210024446249,1.0,1,0.014582578092813492,0.03862486034631729,0.9467926025390625
2008-10-06,-0.8234205320477486,3.0,1,0.023281924426555634,0.13001567125320435,0.8467024564743042
2008-10-08,0.08403342962265015,2.0,1,0.22468166053295135,0.634670078754425,0.1406482309103012
2008-10-15,-0.9130677259527147,2.0,2,0.02431458467617631,0.038303147070109844,0.937382310628891
2008-11-05,-0.9550066804513335,1.0,1,0.009157576598227024,0.02667808346450329,0.9641642570495605
2008-11-06,-0.9314060341566801,1.0,1,0.019957946613430977,0.02867814339697361,0.9513639807701111
2008-11-12,-0.7966220378875732,2.0,1,0.030726194381713867,0.14192552864551544,0.8273482322692871
2008-11-19,-0.9629977284930646,3.0,1,0.007345682475715876,0.02231093868613243,0.9703434109687805
2008-11-20,-0.18282489012926817,2.0,2,0.31218984443694353,0.19279544986784458,0.4950147345662117
2008-11-25,0.36123526096343994,2.0,1,0.6608306765556335,0.03957387059926987,0.2995954155921936
2008-12-02,-0.66065713763237,1.0,1,0.15196087956428528,0.03542109578847885,0.8126180171966553
2008-12-07,-0.3707395251840353,2.0,1,0.02932753600180149,0.570605456829071,0.4000670611858368
