date,sentiment_supply,oil_relevance_supply,news_count_supply,positive_prob_supply,neutral_prob_supply,negative_prob_supply
2022-05-30,-0.017943841715653736,1.6666666666666667,3,0.34030312796433765,0.3014498930424452,0.3582469696799914
2022-05-31,0.1651920617691108,2.142857142857143,7,0.4631001672574452,0.23899175319820642,0.2979081054883344
2022-06-01,-0.0472407143873473,2.1666666666666665,6,0.2946385426136355,0.36348223065336543,0.34187925700098276
2022-06-02,0.4863602388650179,1.0,2,0.4982706308364868,0.4898190088570118,0.011910391971468925
2022-06-03,0.22285705246031284,2.0,3,0.3765509972969691,0.46975506221254665,0.15369394483665624
2022-06-04,0.3472554124891758,2.0,2,0.46469463780522346,0.4178661182522774,0.11743922531604767
2022-06-06,0.2502440270036459,2.3333333333333335,3,0.3456681966781616,0.5589076081911722,0.09542416967451572
2022-06-07,-0.660941616166383,2.0,2,0.14484940422698855,0.04935951344668865,0.8057910203933716
2022-06-08,-0.3451084350900991,1.8571428571428572,7,0.20470037683844566,0.2454907987266779,0.5498088119285447
2022-06-09,-0.36750377900898457,2.0,2,0.2918997388333082,0.04869677126407623,0.6594035178422928
2022-06-10,-0.13077259932955107,2.3333333333333335,3,0.24653330321113268,0.3761607768634955,0.37730590254068375
2022-06-11,0.2564745657145977,1.0,1,0.2979429364204407,0.6605886816978455,0.04146837070584297
2022-06-13,-0.17613393673673272,2.5,2,0.09001306816935539,0.6438399106264114,0.2661470049060881
2022-06-14,-0.38299461267888546,1.625,8,0.15986450156196952,0.29727636254392564,0.542859114240855
2022-06-15,0.5969355554719057,1.4285714285714286,7,0.6695776587086064,0.2577802246170385,0.07264210323670081
2022-06-16,-0.2629938945174217,1.0,3,0.25753025462230045,0.2219456024467945,0.5205241491397222
2022-06-17,-0.3004394302144647,2.0,5,0.23297825083136559,0.23360405247658492,0.5334176810458302
2022-06-18,-0.5400124713778496,2.0,1,0.041811950504779816,0.376363605260849,0.5818244218826294
2022-06-19,-0.919320403598249,2.0,1,0.0096434960141778,0.06139262393116951,0.9289638996124268
2022-06-20,-0.659647723659873,1.5,2,0.14794559217989445,0.044461081735789776,0.8075933158397675
2022-06-21,0.3273124494589865,1.75,4,0.4020309280604124,0.5232506208121777,0.07471847860142589
2022-06-22,-0.3568829569965601,1.8,5,0.08573362044990063,0.4716498002409935,0.4426165774464607
2022-06-23,0.4019547547213733,1.75,4,0.43956608325242996,0.5228225700557232,0.03761132853105664
2022-06-24,-0.9257161449640989,1.0,1,0.030798451974987984,0.01268692221492529,0.9565145969390869
2022-06-26,-0.9041700419038534,1.0,1,0.01888328231871128,0.05806337669491768,0.9230533242225647
2022-06-27,-0.009434362341250693,1.5714285714285714,7,0.3811983166794692,0.22816900696073258,0.39063267902071985
2022-06-28,0.10008222024355616,2.2857142857142856,7,0.27090185454913546,0.5582784989050457,0.1708196343055793
2022-06-29,-0.05327226535882801,2.25,8,0.24153614579699934,0.4636554238386452,0.29480841115582734
2022-06-30,-0.1610814980896456,1.5714285714285714,7,0.12469670389379774,0.5895250701744642,0.28577820198344334
2022-07-01,0.12474551936611533,1.75,4,0.23888423200696707,0.6469770669937134,0.11413871264085174
2022-07-02,-0.964121856726706,1.0,1,0.008756897412240505,0.018364358693361282,0.9728787541389465
2022-07-03,-0.9379482306540012,3.0,1,0.014815565198659897,0.032420575618743896,0.9527637958526611
2022-07-04,-0.9515434103086591,3.0,1,0.010063628666102886,0.028329381719231606,0.961607038974762
2022-07-05,-0.14251260831952095,2.142857142857143,7,0.3302737012771623,0.1969399619847536,0.4727863095966833
2022-07-06,-0.4642080863704905,1.875,8,0.13516355270985514,0.265464820433408,0.5993716390803456
2022-07-07,0.42539607640355825,2.0,4,0.6550998687744141,0.11519637610763311,0.2297037923708558
2022-07-08,-0.008838007226586342,1.0,4,0.3489989135414362,0.2931641535833478,0.35783692076802254
2022-07-11,-0.2688892348246141,1.6363636363636365,11,0.27081313593821094,0.18948447704315186,0.539702370762825
2022-07-12,-0.02467954531311989,2.0,1,0.03623146563768387,0.9028574824333191,0.06091101095080376
2022-07-13,0.15617298968136312,1.6,5,0.5624371208250523,0.03129870928823948,0.40626413114368914
2022-07-14,0.3730749976821244,2.0,4,0.43070873990654945,0.5116575248539448,0.05763374222442508
2022-07-15,-0.016995313577353954,1.6666666666666667,6,0.2881293535853426,0.40674598701298237,0.30512466716269654
2022-07-16,-0.8195665813982487,1.0,1,0.041503455489873886,0.09742651879787445,0.8610700368881226
2022-07-17,-0.43994015827775,2.0,1,0.03076457604765892,0.49853065609931946,0.47070473432540894
2022-07-18,0.33471544133499265,2.0,4,0.36018261034041643,0.6143502220511436,0.025467169005423784
2022-07-19,0.42510406038491055,1.5,8,0.5629182941047475,0.2992674666456878,0.13781423371983692
2022-07-20,0.20621736580505967,1.25,4,0.5161679950542748,0.17388137569651008,0.3099506292492151
2022-07-21,0.039154959842562675,1.0,1,0.05901109054684639,0.9211328029632568,0.019856130704283714
2022-07-22,0.838703609071672,1.5,2,0.8940014243125916,0.05070081539452076,0.05529781524091959
2022-07-24,0.19666847586631775,2.0,1,0.5614269375801086,0.07381454110145569,0.3647584617137909
2022-07-25,-0.1479635525494814,1.2,5,0.2582794390618801,0.33547755479812624,0.4062429916113615
2022-07-26,0.3237291947007179,1.7142857142857142,7,0.523095252258437,0.2775386625102588,0.1993660575577191
2022-07-27,-0.517974590882659,1.6,5,0.06618736367672681,0.3496507119387388,0.5841619545593858
2022-07-28,-0.33532892912626266,1.1666666666666667,6,0.23930804462482533,0.18605497075865665,0.574636973751088
2022-07-29,-0.030749802105128766,2.2,5,0.35834491793066264,0.2525603726506233,0.3890947200357914
2022-07-30,0.6556482212617993,1.0,2,0.6996259987354279,0.25639626383781433,0.04397777747362852
2022-07-31,0.005490734552343686,2.0,3,0.37578965661426383,0.25391140580177307,0.37029892206192017
2022-08-01,-0.3668367315083742,1.6,5,0.2261462274938822,0.18087080717086793,0.5929829590022564
2022-08-02,0.0339782169709603,1.6666666666666667,6,0.3698174711316824,0.29434324738879997,0.3358392541607221
2022-08-03,-0.07418466256931425,1.9,10,0.32532052835449576,0.2751742967404425,0.39950519092381
