date,OilPrice,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate,oil_diff_target,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2012-11-15,-0.8699999999999903,0.0,0.0,0.08950000000000102,0.06999999999999673,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,1.1700000000000017,0.9399999999999977,0.5699999999999932,0.8565220370778562,1.5320913639102636,85.75800000000001,86.187,0.9950224511817329,0,0.38000000000000966,-6.549999999999997,0,0,0,0
2012-11-16,1.1700000000000017,0.0,0.0,0.12579999999999814,-1.5799999999999983,0.0,0.0,-1466.0,0.0,1.0,0.0,0.0,2.4299999999999926,-0.8699999999999903,1.0100000000000051,0.9019257175621498,1.5138236704659986,85.86600000000001,86.018,0.9982329279918158,0,0.5400000000000063,-3.3799999999999955,0,0,0,1
2012-11-19,2.4299999999999926,0.0,0.0,-0.44420000000000925,-1.17,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,-2.5900000000000034,1.1700000000000017,-0.519999999999996,1.2758017087306284,1.574460224966,86.564,86.05550000000001,1.0059089773460148,1,3.489999999999995,0.75,0,0,1,0
2012-11-20,-2.5900000000000034,0.0,0.0,-0.00929999999999609,-0.16000000000000014,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.6200000000000045,2.4299999999999926,-0.18000000000000682,1.961448444390011,1.6401459338151945,86.78,86.04599999999999,1.0085303209910979,1,1.0799999999999983,-0.19000000000001194,0,0,0,0
2012-11-21,0.6200000000000045,0.0,0.0,0.10850000000000648,0.23000000000000043,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,-0.06999999999999318,-2.5900000000000034,0.9399999999999977,1.9369873515333023,1.618434835200189,86.932,86.13050000000001,1.0093056466640735,1,0.7600000000000051,1.6899999999999977,0,0,0,0
2012-11-23,-0.06999999999999318,0.0,0.0,-0.4029000000000025,-0.16999999999999993,0.0,0.0,-347.0,0.0,108.0,0.010000000000000009,0.0,0.269999999999996,0.6200000000000045,-0.8699999999999903,1.8630942005169786,1.618546781594686,87.244,86.2015,1.0120937570691926,1,1.5600000000000023,1.4200000000000017,0,0,0,1
2012-11-26,0.269999999999996,0.0,0.0,0.017299999999991655,0.35999999999999943,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,-0.46999999999999886,-0.06999999999999318,1.1700000000000017,1.8019489448927235,1.61866936905465,87.376,86.2735,1.0127791268465984,1,0.6599999999999966,1.4399999999999977,0,0,1,0
2012-11-27,-0.46999999999999886,0.0,0.0,-0.01809999999998979,0.41999999999999993,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,-0.710000000000008,0.269999999999996,2.4299999999999926,1.263693000692815,1.6209272037941707,86.92800000000001,86.338,1.0068336074497906,1,-2.239999999999995,1.2900000000000063,0,0,0,0
2012-11-28,-0.710000000000008,0.0,0.0,0.06919999999999504,-0.41000000000000014,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,1.5400000000000063,-0.46999999999999886,-2.5900000000000034,0.5388135113376494,1.6299979819167325,86.856,86.36049999999999,1.0057375767856833,1,-0.35999999999999943,0.44999999999998863,0,0,0,0
2012-11-29,1.5400000000000063,0.0,0.0,-0.11959999999999127,-0.4499999999999993,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,0.0,0.9000000000000057,-0.710000000000008,0.6200000000000045,0.8819977324233946,1.6611171732174361,86.968,86.431,1.0062130485589662,1,0.5600000000000023,1.4099999999999966,0,0,0,0
